,procesdag,cust_id,aantal_pakketten,aantal_pakketten_volgende_dag
455,3/18/2015,klant_6,0,0
456,3/19/2015,klant_1,4891,5027
457,3/19/2015,klant_2,1990,1987
458,3/19/2015,klant_3,3,4
459,3/19/2015,klant_4,0,0
460,3/19/2015,klant_5,0,0
461,3/19/2015,klant_6,0,0
462,3/20/2015,klant_1,5027,0
463,3/20/2015,klant_2,1987,0
464,3/20/2015,klant_3,4,0
465,3/20/2015,klant_4,0,0
466,3/20/2015,klant_5,0,0
467,3/20/2015,klant_6,0,0
468,3/21/2015,klant_1,0,0
469,3/21/2015,klant_2,0,1
470,3/21/2015,klant_3,0,0
471,3/21/2015,klant_4,0,0
472,3/21/2015,klant_5,0,0
473,3/21/2015,klant_6,0,0
474,3/22/2015,klant_1,0,5902
475,3/22/2015,klant_2,1,5408
476,3/22/2015,klant_3,0,9
477,3/22/2015,klant_4,0,0
478,3/22/2015,klant_5,0,0
479,3/22/2015,klant_6,0,0
480,3/23/2015,klant_1,5902,4948
481,3/23/2015,klant_2,5408,2217
482,3/23/2015,klant_3,9,5
483,3/23/2015,klant_4,0,1
484,3/23/2015,klant_5,0,0
485,3/23/2015,klant_6,0,0
486,3/24/2015,klant_1,4948,5899
487,3/24/2015,klant_2,2217,1712
488,3/24/2015,klant_3,5,9
489,3/24/2015,klant_4,1,0
490,3/24/2015,klant_5,0,0
491,3/24/2015,klant_6,0,0
492,3/25/2015,klant_1,5899,5483
493,3/25/2015,klant_2,1712,2048
494,3/25/2015,klant_3,9,5
495,3/25/2015,klant_4,0,0
496,3/25/2015,klant_5,0,0
497,3/25/2015,klant_6,0,0
498,3/26/2015,klant_1,5483,6936
499,3/26/2015,klant_2,2048,2054
500,3/26/2015,klant_3,5,4
501,3/26/2015,klant_4,0,0
502,3/26/2015,klant_5,0,0
503,3/26/2015,klant_6,0,0
504,3/27/2015,klant_1,6936,0
505,3/27/2015,klant_2,2054,0
506,3/27/2015,klant_3,4,0
507,3/27/2015,klant_4,0,0
508,3/27/2015,klant_5,0,0
509,3/27/2015,klant_6,0,0
510,3/28/2015,klant_1,0,1
511,3/28/2015,klant_2,0,0
512,3/28/2015,klant_3,0,0
513,3/28/2015,klant_4,0,0
514,3/28/2015,klant_5,0,0
515,3/28/2015,klant_6,0,0
516,3/29/2015,klant_1,1,5064
517,3/29/2015,klant_2,0,5314
518,3/29/2015,klant_3,0,7
519,3/29/2015,klant_4,0,0
520,3/29/2015,klant_5,0,0
521,3/29/2015,klant_6,0,0
522,3/30/2015,klant_1,5064,10116
523,3/30/2015,klant_2,5314,1441
524,3/30/2015,klant_3,7,5
525,3/30/2015,klant_4,0,0
526,3/30/2015,klant_5,0,0
527,3/30/2015,klant_6,0,0
528,3/31/2015,klant_1,10116,6645
529,3/31/2015,klant_2,1441,2091
530,3/31/2015,klant_3,5,0
531,3/31/2015,klant_4,0,0
532,3/31/2015,klant_5,0,0
533,3/31/2015,klant_6,0,0
534,4/1/2015,klant_1,6645,7213
535,4/1/2015,klant_2,2091,3000
536,4/1/2015,klant_3,0,5
537,4/1/2015,klant_4,0,0
538,4/1/2015,klant_5,0,0
539,4/1/2015,klant_6,0,0
540,4/2/2015,klant_1,7213,4891
541,4/2/2015,klant_2,3000,1295
542,4/2/2015,klant_3,5,4
543,4/2/2015,klant_4,0,0
544,4/2/2015,klant_5,0,0
545,4/2/2015,klant_6,0,0
546,4/3/2015,klant_1,4891,0
547,4/3/2015,klant_2,1295,0
548,4/3/2015,klant_3,4,0
549,4/3/2015,klant_4,0,0
550,4/3/2015,klant_5,0,0
551,4/3/2015,klant_6,0,0
552,4/4/2015,klant_1,0,0
553,4/4/2015,klant_2,0,0
554,4/4/2015,klant_3,0,0
555,4/4/2015,klant_4,0,0
556,4/4/2015,klant_5,0,0
557,4/4/2015,klant_6,0,0
558,4/5/2015,klant_1,0,0
559,4/5/2015,klant_2,0,0
560,4/5/2015,klant_3,0,0
561,4/5/2015,klant_4,0,0
562,4/5/2015,klant_5,0,0
563,4/5/2015,klant_6,0,0
564,4/6/2015,klant_1,0,8188
565,4/6/2015,klant_2,0,7272
566,4/6/2015,klant_3,0,10
567,4/6/2015,klant_4,0,0
568,4/6/2015,klant_5,0,0
569,4/6/2015,klant_6,0,0
570,4/7/2015,klant_1,8188,7912
571,4/7/2015,klant_2,7272,1252
572,4/7/2015,klant_3,10,5
573,4/7/2015,klant_4,0,1
574,4/7/2015,klant_5,0,0
575,4/7/2015,klant_6,0,0
576,4/8/2015,klant_1,7912,8810
577,4/8/2015,klant_2,1252,1819
578,4/8/2015,klant_3,5,3
579,4/8/2015,klant_4,1,0
580,4/8/2015,klant_5,0,0
581,4/8/2015,klant_6,0,0
582,4/9/2015,klant_1,8810,6716
583,4/9/2015,klant_2,1819,2337
584,4/9/2015,klant_3,3,6
585,4/9/2015,klant_4,0,0
586,4/9/2015,klant_5,0,0
587,4/9/2015,klant_6,0,0
588,4/10/2015,klant_1,6716,0
589,4/10/2015,klant_2,2337,0
590,4/10/2015,klant_3,6,0
591,4/10/2015,klant_4,0,0
592,4/10/2015,klant_5,0,0
593,4/10/2015,klant_6,0,0
594,4/11/2015,klant_1,0,0
595,4/11/2015,klant_2,0,0
